frame	vlan.id	ip.src	ip.dst	arp.src	arp.dst
1	10			10.0.0.1	10.0.0.3
2	10			10.0.0.3	10.0.0.1
3	10	10.0.0.1	10.0.0.3		
4	10	10.0.0.3	10.0.0.1		
5	10	10.0.0.1	10.0.0.3		
6	10	10.0.0.3	10.0.0.1		
7	10	10.0.0.1	10.0.0.3		
8	10	10.0.0.3	10.0.0.1		
9	20			10.0.0.2	10.0.0.4
10	20			10.0.0.4	10.0.0.2
11	20	10.0.0.2	10.0.0.4		
12	20	10.0.0.4	10.0.0.2		
13	20				
14	20	10.0.0.2	10.0.0.4		
15	20	10.0.0.4	10.0.0.2		
16	10				
17	10				
18	20	10.0.0.2	10.0.0.4		
19	20	10.0.0.4	10.0.0.2		
20	10			10.0.0.3	10.0.0.1
21	10			10.0.0.1	10.0.0.3
22	20				
